DEPARTAMENTO;PROVINCIA;DISTRITO;CENTRO DE ATENCION;ESTADO;HORARIOS DE ATENCIÓN; DIRECCIÓN 
LIMA;CALLAO;VILLA MARIA DEL TRIUNFO;HOSPITAL DANIEL ALCIDES CARRION;OPERATIVO;08:15 - 13:45  ;Av. Pachacutec 3470 (pasando el terminal pesquero)
LIMA;LIMA;COMAS;HOSPITAL NACIONAL SERGIO E. BERNALES;OPERATIVO;08:15 - 13:45  ;Av. Tupac Amaru N° 8000, Collique, Comas.
LIMA;LIMA;SAN JUAN DE LURIGANCHO;HOSPITAL SAN JUAN DE LURIGANCHO;OPERATIVO;08:15 - 13:45  ;Av. Canto Grande s/n - Alt. Paradero 10 Canto Grando.
LIMA;LIMA;SAN MARTIN;HOSPITAL NACIONAL CAYETANO HEREDIA;OPERATIVO;08:15 - 13:45  ;Honorio Delgado N° 262 - Urb. Ingeniería / Obstetricia
LIMA;BARRANCA;BARRANCA;ORA BARRANCA ;OPERATIVO;08:15 - 13:45  ;Av. Nicolás de Piérola N° 210-224 en el Distrito de Barranca
LIMA;BARRANCA;BARRANCA;ORA BARRANCA ;OPERATIVO;08:15 - 13:45  ;Av. Nicolás de Piérola N° 210-224 en el Distrito de Barranca
LIMA;CALLAO;VENTANILLA;HOSPITAL DE VENTANILLA;OPERATIVO;08:15 - 13:45  ;Pedro Beltran S/N Ventanilla - Hospital de Ventanilla
LIMA;LIMA;SAN BORJA;OR ATENCIONES ESPECIALES DE SAN BORJA;OPERATIVO;08:45 - 16:45  ;Javier Prado N° 2388 -2386 - 2392
LIMA;LIMA;EL AGUSTINO;MAC - LIMA ESTE;OPERATIVO;Lun a Vie 08:00 - 16:45  Sab 08:00 - 13:45 ;Mall Open Plaza Santa Anita
LIMA;CALLAO;VENTANILLA;MAC - VENTANILLA;OPERATIVO;Lun a Vie 08:00 - 16:45  Sab 08:00 - 13:45 ;Mz C9 Lt S/N Costado de Palacio Municipal
LIMA;CALLAO;BELLAVISTA;MAC - CALLAO;OPERATIVO;Lun a Vie 08:00 - 16:45  Sab 08:00 - 13:45 ;Oscar R. Benavides N° 3866 - Centro Comercial Mall Aventura Plaza
LIMA;LIMA;SAN JUAN DE MIRAFLORES;MAC - LIMA SUR;OPERATIVO;Lun a Vie 08:00 - 16:45  Sab 08:00 - 13:45 ;Av. Circunvalacion 1801- San Juan de Miraflores
PUNO;PUNO;PUNO;OR PUNO;OPERATIVO;08:45 - 16:45  ;Arequipa 1145
PUNO;SANDIA;SANDIA;PAP SANDIA;OPERATIVO PARCIAL;08:15 - 13:45  ;Lima S/N (Coliseo Cubierto) 
PUNO;SAN ANTONIO DE PUTINA;PUTINA;PAP PUTINA;OPERATIVO;08:15 - 13:45  ;Plaza de Armas (Palacio Municipal)
PUNO;LAMPA;LAMPA;PAP LAMPA;OPERATIVO;08:15 - 13:45  ;Alfonso Ugarte N° 343
PUNO;EL COLLAO;ILAVE;PAP EL COLLAO;OPERATIVO;08:15 - 13:45  ;Coliseo Cubierto Oficina N° 02 Municipio
PUNO;CHUCUITO;JULI;PAP CHUCUITO;OPERATIVO;08:45 - 16:45  ;Ilave S/N Mercado Central Municipio
PUNO;CARABAYA;MACUSANI;PAP CARABAYA;OPERATIVO;08:15 - 13:45  ;Raimondi N° 116
PUNO;YUNGUYO;YUNGUYO;PAP YUNGUYO;OPERATIVO PARCIAL;08:15 - 13:45  ;Grau Nº 625
PUNO;MELGAR;AYAVIRI;PAP MELGAR;OPERATIVO;08:45 - 16:45  ;25 de Diciembre Nº 435 
PUNO;HUANCANE;HUANCANE;PAP HUANCANE;OPERATIVO;08:45 - 16:45  ;Moquegua N° 140 - Barrio Progreso
PUNO;AZANGARO;AZANGARO;PAP AZANGARO;OPERATIVO;08:45 - 16:45  ;Azangaro N° 160  (Palacio Municipal)
PUNO;SAN ROMAN;JULIACA;AG SAN ROMAN;OPERATIVO;08:45 - 16:45  ;Brasesco N° 181 
PUNO;MOHO;MOHO;PAP MOHO;OPERATIVO PARCIAL;08:15 - 13:45  ;Circunvalación S/N Mercado Municipal
PUNO;PUNO;PUNO;ORA HOSPITAL REGIONAL MANUEL NUÑEZ BUTRON;OPERATIVO;08:15 - 13:45  ;El Sol N° 1022
PUNO;SAN ROMAN;JULIACA;ORA HOSPITAL CARLOS MONGE MEDRANO;OPERATIVO;08:15 - 13:45  ;Huancane Km 2
PUNO;AZANGARO;AZANGARO;CARLOS CORNEJO ROSELLO;OPERATIVO;08:15 - 13:45  ;FRANCISCO BOLOGNESI 557
PUNO;MELGAR;AYAVIRI;ORA SAN JUAN DE DIOS - AYAVIRI;OPERATIVO;08:15 - 13:45  ;ARICA 310
PUNO;EL COLLAO;ILAVE;ORA HOSPITAL II - ILAVE;OPERATIVO;08:15 - 13:45  ;Jr. Atahualpa 685
AYACUCHO;LUCANAS ;CABANA;PAP CABANA;OPERATIVO;08:15 - 13:45  ;Jorge Chavez N° 272
AYACUCHO;PAUCAR DEL SARA SARA;PAUSA;PANP PAUCAR DEL SARA SARA;OPERATIVO PARCIAL;08:15 - 13:45  ;Miguel de Cervantes S/N Ubicación Plaza de Armas
ICA;ICA;PARCONA;PAP PARCONA;OPERATIVO;08:15 - 13:45  ;Jhon F. Kennedy N° 500 con Calle Lima S/N 
ICA;ICA;ICA;OR ICA;OPERATIVO;08:45 - 16:45  ;Municipalidad Nº 213-221 y Esquina Calle Bolivar Nª 124
ICA;CHINCHA;CHINCHA ALTA;AG CHINCHA;OPERATIVO;08:45 - 16:45  ;Los Angeles N° 300
AYACUCHO;LUCANAS ;PUQUIO;AG LUCANAS;OPERATIVO;08:15 - 13:45  ;San Pedro N° 216
AYACUCHO;PARINACOCHAS;CORACORA;AG PARINACOCHAS;OPERATIVO;08:15 - 13:45  ;Plaza de Armas S/N Ubicación Centro Cívico
ICA;NASCA;NASCA;AG NASCA;OPERATIVO;08:45 - 16:45  ;Fermín del Castillo Nº 270
ICA;PISCO;PISCO;AG PISCO;OPERATIVO;08:45 - 16:45  ;San Juan de Dios N° 288
ICA;PALPA;PALPA;AG PALPA;OPERATIVO;08:15 - 13:45  ;Portal Escribanos Nº 145 (Municipio)
ICA;Chincha;CHINCHA ALTA;HOSPITAL SAN JOSE;OPERATIVO;08:15 - 13:45  ;Abelardo Alva Maurtua Nº 600
ICA;Ica;ICA;HOSPITAL REGIONAL DE ICA;OPERATIVO;08:15 - 13:45  ;Ayabaca S/N
ICA;Ica;ICA;HOSPITAL SANTA MARIA DEL SOCORRO;OPERATIVO;08:15 - 13:45  ;Castrovirreyna N° 759
ICA;Ica;ICA;HOSPITAL SAN JUAN DE DIOS DE PISCO;OPERATIVO;08:15 - 13:45  ;Fermín Tanguis S/N (Altura del Fundo Alto de la Luna)
AYACUCHO;LUCANAS ;LARAMATE;PANP LARAMATE;OPERATIVO PARCIAL;08:15 - 13:45  ;Ica S/N -Plaza de Armas
ICA;Ica;ICA;HOSPITAL DE APOYO DE NASCA;OPERATIVO;08:15 - 13:45  ;Calle Mello Catanzaro S/N
AYACUCHO;LUCANAS ;PUQUIO;HOSPITAL FELIPE HUAMAN POMA DE AYALA  DE PUQUIO;OPERATIVO;08:15 - 13:45  ;Arnaldo Alvarado S/N
AYACUCHO;PARINACOCHAS;CORACORA;HOSPITAL DE APOYO DE CORACORA;OPERATIVO;08:15 - 13:45  ;Fermín Tanguis S/N (Altura del Fundo Alto de la Luna)
UCAYALI;ATALAYA;TAHUANIA;PAP TAHUANIA;OPERATIVO;08:15 - 13:45  ;7 de Junio  S/N
UCAYALI;PADRE ABAD;IRAZOLA;AG IRAZOLA;OPERATIVO;08:15 - 13:45  ;Saposoa S/N
UCAYALI;CORONEL PORTILLO;CALLERIA;OR PUCALLPA;OPERATIVO;08:45 - 16:45  ;09 de Diciembre N° 378 y Tacna Nº 891 Mz 07 Lt. Acumulado 1-B, independiente.
UCAYALI;PURUS;PURUS;PAP PURUS;OPERATIVO;08:15 - 13:45  ;Villacorta S/N
UCAYALI;ATALAYA;RAIMONDI;PAP ATALAYA;OPERATIVO;08:15 - 13:45  ;Rioja Nº 659
LORETO;UCAYALI;CONTAMANA;PAP CONTAMANA;OPERATIVO;08:15 - 13:45  ;Manuel E. Rojas S/N primera cuadra - Local Municipal.
HUANUCO;PUERTO INCA;PUERTO INCA;PAP PUERTO INCA;OPERATIVO;08:15 - 13:45  ;Vulcano S/N
UCAYALI;PADRE ABAD;PADRE ABAD;PAP PADRE ABAD;OPERATIVO;08:15 - 13:45  ;Federico Basadre N° 156 - Aguaytia
UCAYALI ;CORONEL PORTILLO ;YARINACOCHA ;ORA HOSPITAL AMAZONICO DE YARINACOCHA;OPERATIVO;08:15 - 13:45  ;Aguaytia N° 605
UCAYALI ;CORONEL PORTILLO ;CALLERIA ;ORA HOSPITAL REGIONAL DE PUCALLPA ;OPERATIVO;08:15 - 13:45  ;Agustin Cauper N° 285
HUANCAVELICA;TAYACAJA;COLCABAMBA;AG COLCABAMBA;OPERATIVO;08:15 - 13:45  ;Paseo Santiago Antunes de Mayolo S/N
HUANCAVELICA;TAYACAJA;SURCUBAMBA;AG SURCUBAMBA;OPERATIVO;08:15 - 13:45  ;Alfonso Ugarte S/N
HUANCAVELICA;TAYACAJA;PAMPAS;OR TAYACAJA;OPERATIVO;08:15 - 13:45  ;Lima S/N esquina con Francisco Bolognesi
HUANCAVELICA;CHURCAMPA;CHURCAMPA;OR CHURCAMPA;OPERATIVO;08:15 - 13:45  ;Real N° 255
HUANCAVELICA;CASTROVIRREYNA;CASTROVIRREYNA;OR CASTROVIRREYNA;OPERATIVO;08:15 - 13:45  ;Los Libertadores S/N
HUANCAVELICA;ANGARAES;LIRCAY;OR ANGARAES;OPERATIVO;08:15 - 13:45  ;Centenario S/N - Centro Civico
HUANCAVELICA;ACOBAMBA;PAUCARA;PAP PAUCARA;OPERATIVO;08:15 - 13:45  ;San Martin S/N
HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;OR HUANCAVELICA;OPERATIVO;08:45 - 16:45  ;San Cristobal Nº 380
HUANCAVELICA;ACOBAMBA;ACOBAMBA;OR ACOBAMBA;OPERATIVO;08:15 - 13:45  ;Dos de Mayo N° 459
HUANCAVELICA;HUAYTARA;HUAYTARA;OR HUAYTARA;OPERATIVO;08:15 - 13:45  ; 24 de Junio S/N
HUANCAVELICA;HUANCAVELICA;IZCUCHACA;PAP IZCUCHACA;OPERATIVO PARCIAL;08:15 - 13:45  ;Ferrocarril  S/N 
HUANCAVELICA;TAYACAJA;PAMPAS;ORA PAMPAS;OPERATIVO;08:15 - 13:45  ;Bolivar S/N Cdra. 4 Barrio Yacuraquina
HUANCAVELICA;HUANCAVELICA;YAULI;ORA YAULI;OPERATIVO;08:15 - 13:45  ;Bolognesi S/N
HUANCAVELICA;ANGARES;LIRCAY;ORA LIRCAY;OPERATIVO;08:15 - 13:45  ;Esmeralda S/N
HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;ORA HOSPITAL REGIONAL ZACARIAS CORREA VALDIVIA;OPERATIVO;08:15 - 13:45  ;Andrés Avelino Cáceres S/N - Barrio Yanacancha
PASCO;OXAPAMPA;PALCAZÚ;AG PALCAZU;OPERATIVO;08:15 - 13:45  ;Juan Santos Atahualpa Mz. U Lt 01 Esquina con Av. Juan Frantzen - Mercado de Productores Agropecuarios - Iscozacin
HUANUCO;MARAÑON;HUACRACHUCO;PAP MARAÑON;OPERATIVO;08:15 - 13:45  ;Parque Mayobamba  Av. 28 de Julio N° 620
PASCO;OXAPAMPA;CONSTITUCIÓN;AG CONSTITUCION;OPERATIVO;08:15 - 13:45  ;Oficina N° 03 frenta a la Plaza de Armas, cuarta etapa del distrito de Constitución
HUANUCO;LEONCIO PRADO;JOSÉ CRESPO Y CASTILLO;PAP JOSE CRESPO Y CASTILLO;OPERATIVO;08:15 - 13:45  ;Maria Parado de Bellido
SAN MARTIN;TOCACHE;TOCACHE;PAP TOCACHE;OPERATIVO;08:45 - 16:45  ;San Juan Cdra 7 S/N Centro Cívico
PASCO;PASCO;PAUCARTAMBO;PAP PAUCARTAMBO ;OPERATIVO;08:15 - 13:45  ;Plaza 28 de Julio S/N
PASCO;OXAPAMPA;PUERTO BERMUDEZ;PAP PUERTO BERMÚDEZ;OPERATIVO;08:15 - 13:45  ;Remigio Morales Bermúdez S/N
PASCO;OXAPAMPA;OXAPAMPA;PAP OXAPAMPA;OPERATIVO;08:45 - 16:45  ;AV SAN MARTIN S/N CUADRA 6 ESQUINA CON JR BELGRADO - OXAPAMPA
PASCO;DANIEL ALCIDES CARRION;YANAHUANCA;PAP DANIEL ALCIDES CARRIÓN;OPERATIVO;08:15 - 13:45  ;Jorge Chavez S/N Plaza Principal
HUANUCO;YAROWILCA;CHAVINILLO;PAP YAROWILCA;OPERATIVO;08:15 - 13:45  ;Virgen de Fatima S/N
HUANUCO;PACHITEA;PANAO;PAP PACHITEA;OPERATIVO;08:15 - 13:45  ;Mayro N° 309
HUANUCO;LEONCIO PRADO;RUPA-RUPA;PAP LEONCIO PRADO;OPERATIVO;08:45 - 16:45  ;Tocache N° 226
HUANUCO;LAURICOCHA;JESÚS;PAP LAURICOCHA;OPERATIVO;08:15 - 13:45  ;Leoncio Prado S/N - Centro Civico
HUANUCO;HUAMALIES;LLATA;PAP HUAMALIES;OPERATIVO;08:15 - 13:45  ;Huánuco N° 265
HUANUCO;DOS DE MAYO;LA UNION;PAP DOS DE MAYO;OPERATIVO;08:15 - 13:45  ;Lourdes N° 222
HUANUCO;AMBO;AMBO;PAP AMBO;OPERATIVO;08:15 - 13:45  ;28 de Julio N° 687 
PASCO;PASCO;YANACANCHA;AG PASCO;OPERATIVO;08:45 - 16:45  ;"Centro Comercial ""Sector Dos de San Juan Pampa Edif. 4 Tienda 3 San Juan-Yanacancha"
HUANUCO;HUANUCO;HUÁNUCO;OR HUANUCO;OPERATIVO;08:45 - 16:45  ;28 de Julio N° 825
SAN MARTIN;TOCACHE;UCHIZA;AG UCHIZA;OPERATIVO PARCIAL;08:15 - 13:45  ;Atahualpa N° 920
PASCO;PASCO;HUARIACA;PAP HUARIACA;OPERATIVO;08:15 - 13:45  ;28 de Julio Nº 129
HUANUCO;LAURICOCHA;BAÑOS;AG BAÑOS;OPERATIVO PARCIAL;08:15 - 13:45  ;Marañon S/N
PASCO;PASCO;YANACANCHA;DR. DANIEL ALCIDES CARRION;OPERATIVO;08:15 - 13:45  ;Los Incas S/N Urb. San Juan
SAN MARTIN;TOCACHE;TOCACHE;HOSPITAL TOCACHE;OPERATIVO;08:15 - 13:45  ;Jorge Chavez 780 - Tocache
HUANUCO;HUANUCO;HUANUCO;HOSPITAL REGIOSNAL HERMILIO VALDIZAN;OPERATIVO;08:15 - 13:45  ;Hermilio Valdizan Nº 950
HUANUCO;HUANUCO;AMARILIS;CARLOS SHOWING FERRARI;OPERATIVO;08:15 - 13:45  ;Av. Micaela Bastidas S/N Paucarbamba - Amarilis 
HUANUCO;LEONCIO PRADO;JOSE CRESPO Y CASTILLO;AUCAYACU;OPERATIVO;08:15 - 13:45  ;Grau N° 401
HUANUCO;LEONCIO PRADO;RUPA-RUPA;HOSPITAL TINGO MARIA;OPERATIVO;08:15 - 13:45  ;Ucayali N° 114
HUANUCO;PACHITEA;PANAO;PANAO;OPERATIVO;08:15 - 13:45  ;Grau Nº 193
CAJAMARCA;JAEN;JAEN;OR JAEN;OPERATIVO;08:45 - 16:45  ;Mariscal Ureta Nº 915
AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLÁS;AG RODRIGUEZ DE MENDOZA;OPERATIVO;08:15 - 13:45  ;Victor Mori N° 204
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;OR CHACHAPOYAS;OPERATIVO;08:45 - 16:45  ;Triunfo Nº 903 1° Piso
AMAZONAS;LUYA ;LAMUD;AG LUYA;OPERATIVO PARCIAL;08:15 - 13:45  ;Garcilazo de la Vega N° 328
AMAZONAS;BONGARA;JAZAN;AG BONGARA;OPERATIVO;08:15 - 13:45  ;Marginal Nº 100 -Pedro Ruíz
AMAZONAS;BAGUA;IMAZA;OR IMAZA;OPERATIVO;08:15 - 13:45  ;Awajun S/N Plaza de Armas
CAJAMARCA;SAN IGNACIO;SAN IGNACIO;PAP SAN IGNACIO;OPERATIVO;08:15 - 13:45  ;Santo Domingo Nº 169
AMAZONAS;CONDORCANQUI;NIEVA;PAP CONDORCANQUI;OPERATIVO;08:45 - 16:45  ; Gonzalo Puerta S/N 
AMAZONAS;BAGUA;BAGUA;PAP BAGUA;OPERATIVO;08:45 - 16:45  ;Los Cedros Nº 263
AMAZONAS;UTCUBAMBA;BAGUA GRANDE;PAP UTCUBAMBA;OPERATIVO;08:45 - 16:45  ;Simos Bolivar Nº 545
CAJAMARCA;JAEN;PUCARA;PANP PUCARA;OPERATIVO PARCIAL;08:15 - 13:45  ;Calle Lindo 548
CAJAMARCA;San Ignacio;San Ignacio;HOSPITAL SAN IGNACIO;OPERATIVO;08:15 - 13:45  ;Abelardo Quiñones S/N, Sector Santiago
CAJAMARCA;Jaén;Jaén;HOSPITAL GENERAL DE JAEN;OPERATIVO;08:15 - 13:45  ;Huamantanga N° 850
AMAZONAS;Utcubamba;Bagua Grande;HOSPITAL SANTIAGO APOSTOL;OPERATIVO;08:15 - 13:45  ;Felipe Santiago S/N
AMAZONAS;Bagua;Bagua;HOSPITAL DE APOYO BAGUA GUSTAVO LANATA;OPERATIVO;08:15 - 13:45  ;Heroes de Cenepa S/N
AMAZONAS;Bongara;Florida;CENTRO DE SALUD POMACOCHAS - FLORIDA;OPERATIVO;08:15 - 13:45  ;Pomacochas S/N
AMAZONAS;Chachapoyas;Chachapoyas;HOSPITAL REGIONAL VIRGEN DE FATIMA;OPERATIVO;08:15 - 13:45  ;Daniel Alcides Carrion N° 035
AMAZONAS;Bagua;IMAZA;CENTRO DE SALUD CHIRIACO;OPERATIVO;08:15 - 13:45  ;Calle Junin S/N - Chiriaco
